"year","mean_depth","ci_lower","ci_upper"
2003,-451.35726026064,-455.570407152872,-447.070971481846
2004,-455.972511818971,-460.21688246069,-450.865565382638
2005,-460.36971446681,-464.72802945978,-455.599994230953
2006,-474.10391580332,-478.496909868214,-469.301242868939
2007,-462.752486434259,-467.733962171833,-457.770209216883
2008,-469.019881996634,-474.443332769314,-464.061835798704
2009,-466.994350070798,-472.107043346379,-461.355255025246
2010,-458.502655458302,-462.733132790142,-454.415078848173
2011,-452.318629684157,-456.962849682133,-447.926825224125
2012,-454.471769873441,-458.852651215371,-449.883245744083
2013,-453.377150576295,-457.711216165403,-448.723844882673
2014,-448.676028899097,-453.277287331648,-444.340987717213
2015,-452.604072720446,-457.508216421117,-447.901648325169
2016,-437.967476676803,-442.754904409966,-433.714165840646
2017,-442.497058715988,-446.770102165092,-438.748684806514
2018,-443.006627859494,-447.590573103318,-439.373358012841
2019,-448.237415010659,-452.881630061716,-444.016989962309
2021,-461.293921344439,-466.1337568833,-456.589054721862
2022,-453.869951904853,-458.899873947234,-449.216405856452
2023,-447.602317953468,-452.229859931817,-443.181003648188
2024,-449.461720041853,-453.895531168212,-445.041678789857
2025,-443.329265062116,-448.193517697989,-437.924343060853
