"year","mean_depth","ci_lower","ci_upper"
2003,-678.319377303986,-685.837993435575,-670.936756345037
2004,-505.278859743135,-513.063900492843,-497.555577902176
2005,-573.700562212197,-581.93675988892,-566.059815806301
2006,-482.370997443943,-490.843618137449,-474.080410566908
2007,-500.569366274534,-508.645348984048,-492.929834893343
2008,-486.035513832023,-492.599238186083,-478.923340684881
2009,-604.000843164593,-611.752529841825,-595.799044251099
2010,-665.111717800992,-673.776653747878,-657.857306704079
2011,-660.149630245396,-667.870314319399,-653.560132666455
2012,-638.119574905634,-645.505067334679,-630.614635404072
2013,-656.361606301351,-664.188684290587,-648.29759799212
2014,-555.044110943817,-563.72141905174,-546.826648649735
2015,-635.11086413453,-642.617999358368,-627.061096636142
2016,-594.252138826885,-601.72464782691,-586.559341340688
2017,-628.894731478065,-637.771671624551,-621.317021018933
2018,-652.235183280031,-659.532427193239,-645.895572233106
2019,-620.326015523524,-627.905341587751,-611.968767386824
2021,-469.914138008195,-476.625580346119,-462.772168108557
2022,-487.383774349243,-495.39484174294,-479.885752614488
2023,-491.575421262428,-498.480996723084,-484.628300717962
2024,-618.404382599005,-626.352230207756,-611.267377141005
2025,-525.598335078507,-533.791161972945,-517.552174058925
