"year","mean_depth","ci_lower","ci_upper"
2003,-1243.77841368188,-1245.76998474899,-1241.94327659229
2004,-1243.84327116629,-1245.51909060278,-1242.32038172899
2005,-1243.6723909131,-1245.16729270511,-1242.06210934791
2006,-1243.84483222071,-1245.61148252297,-1242.21762586031
2007,-1244.17541417822,-1245.80650457746,-1242.60941678996
2008,-1243.81905595547,-1245.55162772382,-1241.97533891053
2009,-1244.03765133083,-1245.45018610802,-1242.345883734
2010,-1243.94726271103,-1245.48764585153,-1242.31506893104
2011,-1243.90533114244,-1245.80528312062,-1242.1449054257
2012,-1244.42990452302,-1246.02932289036,-1242.9095284641
2013,-1244.59307114768,-1246.01643418536,-1242.79275601544
2014,-1244.05799764717,-1245.65006304969,-1242.28860949703
2015,-1243.9582650149,-1245.35494357072,-1242.02027455252
2016,-1244.2207632814,-1245.86555187855,-1242.77057296412
2017,-1244.79745079071,-1246.63935656624,-1243.17839789235
2018,-1244.92061623883,-1246.62145124247,-1243.20280115629
2019,-1244.27078510609,-1245.70516845548,-1242.66341783755
2021,-1244.32522124142,-1246.26845499001,-1242.73650991031
2022,-1244.61731122678,-1246.2752071437,-1242.81709799477
2023,-1245.08173024352,-1246.51860092299,-1243.3541125312
2024,-1244.57826526938,-1246.27549345257,-1242.97009135689
2025,-1245.87295859074,-1247.54597288632,-1244.19371426021
