"year","mean_depth","ci_lower","ci_upper"
2003,-404.463303757198,-407.434488520037,-401.213528824096
2004,-413.214595004281,-416.355750618459,-410.139038886508
2005,-393.272075742595,-396.155515817694,-390.253251996018
2006,-420.787195824143,-423.843402022048,-417.487570834637
2007,-415.245241567698,-418.665693296521,-411.949510984546
2008,-389.668222222408,-392.209876671441,-386.538062055542
2009,-405.147730265339,-408.231316103306,-402.210628337523
2010,-396.988398446372,-400.190894985933,-393.76448990204
2011,-384.086094773893,-386.951452137858,-381.134241514201
2012,-382.391563789609,-385.529822949934,-379.973692720163
2013,-411.992373569869,-415.537512998685,-408.542815917861
2014,-397.945344979271,-401.441804224219,-394.763188110094
2015,-410.555293339572,-413.842961748552,-406.787885624889
2016,-387.35787631268,-390.276317484088,-384.63418912676
2017,-395.74284044248,-398.613849251069,-392.526728058461
2018,-392.537053152246,-395.429191349401,-389.492918338128
2019,-394.284872005741,-397.431765849376,-391.352575607653
2021,-403.112438133242,-406.015224161791,-400.097175395592
2022,-408.044335281851,-410.891671594092,-405.134788678742
2023,-405.207107255308,-408.131379222012,-401.854595168879
2024,-391.197175668521,-394.741869208642,-388.172678709904
2025,-393.233512143035,-396.41610820603,-390.32233903038
