"year","mean_depth","ci_lower","ci_upper"
2003,-390.157346111428,-395.269264906342,-385.423917870197
2004,-373.089096942724,-378.61845030113,-367.189322632487
2005,-388.124905858399,-393.59666867651,-382.718604334613
2006,-368.518611435505,-373.740633796137,-362.689074634131
2007,-321.875877083413,-326.249609350898,-317.93921550669
2008,-212.236559175405,-214.650143941388,-209.731644895928
2009,-305.671621963954,-309.546464384546,-302.373705177307
2010,-343.216839155321,-348.044915006328,-338.258006116183
2011,-456.850122346766,-464.547126760299,-449.96493081301
2012,-411.877358533442,-417.521534314231,-406.906026991073
2013,-445.029067663749,-451.406191167378,-438.30149553591
2014,-430.201794196725,-437.03578294809,-423.682517293402
2015,-360.652067361355,-364.93636130717,-356.040629719222
2016,-343.518798341383,-348.639241817631,-338.878503758103
2017,-467.401148375835,-474.96049937226,-460.25251894806
2018,-514.513116695778,-522.094592642735,-506.305144747156
2019,-375.91180663764,-381.94062002168,-370.719503708736
2021,-364.059335271072,-369.313075301992,-358.844553270336
2022,-384.873542494397,-391.623149270389,-378.330801258541
2023,-415.734360564171,-421.312727643152,-409.788932682172
2024,-502.461744133813,-509.801012508157,-495.272949026535
2025,-291.941008775751,-295.641561280056,-287.651997116879
