"year","mean_depth","ci_lower","ci_upper"
2003,-135.80274225142,-136.767316143196,-134.877281184496
2004,-148.040367431977,-149.337106044723,-146.576784547552
2005,-143.624766870708,-144.818646634394,-142.525637901571
2006,-169.451230503689,-171.491291502452,-167.334284837484
2007,-154.145757496911,-155.653529785849,-152.576560839248
2008,-150.81215350391,-152.28892112393,-149.401488308995
2009,-160.371333116272,-162.100972462084,-158.454986102055
2010,-157.083782967914,-158.553479461045,-155.566387791107
2011,-186.300493909752,-188.727825113093,-184.110986391851
2012,-192.91062017996,-194.989404571816,-190.745747044161
2013,-147.019736042831,-148.262236539695,-145.937105382435
2014,-155.738359760593,-156.863912728428,-154.533562568626
2015,-140.085824310408,-141.341798389668,-138.597302464828
2016,-185.582995978823,-187.649922303013,-183.717149863989
2017,-137.193075678183,-138.013571438779,-136.28112513504
2018,-141.192410470235,-142.372756848414,-139.917571935363
2019,-123.466910591728,-124.597032415224,-122.317993788897
2021,-105.421472225106,-106.213083484763,-104.670697203121
2022,-122.090570197747,-123.191479524799,-120.849173334101
2023,-120.519842359857,-121.241719703447,-119.833077051194
2024,-176.170768462193,-178.583675035595,-173.777861424453
2025,-154.28908242699,-156.251098322787,-152.63647399539
