"year","mean_depth","ci_lower","ci_upper"
2003,-516.183270084605,-522.110769369888,-510.781707088642
2004,-611.366625592969,-617.590013404092,-604.795220038003
2005,-492.828431558949,-499.074876848209,-487.567482181969
2006,-508.04282649139,-513.618350217884,-502.554039418018
2007,-506.924096197761,-512.122206630203,-502.361870291151
2008,-445.745430513429,-451.00244570811,-441.186472212218
2009,-463.155965849836,-467.859171358947,-457.743117656514
2010,-439.492540244403,-443.809616136558,-435.311999814502
2011,-433.005373178005,-438.583075495803,-428.077765568755
2012,-463.66437638847,-468.554422262937,-459.345138687512
2013,-538.841925914081,-543.708582536161,-534.056312489921
2014,-609.574384250539,-615.372593977705,-603.595899451267
2015,-558.422423110996,-564.356581029224,-552.471814672894
2016,-514.537872108867,-519.599255444204,-509.849390022725
2017,-603.693806681995,-609.70609462416,-597.575420067975
2018,-521.985828024965,-527.186693938251,-516.662292635211
2019,-556.11703836401,-561.713235433739,-549.910318830376
2021,-514.495249619207,-519.706884041526,-509.303585556749
2022,-488.652553528693,-493.834680748289,-483.668605508759
2023,-490.826003584046,-495.733390822588,-486.003498215452
2024,-460.950125439045,-465.722935142463,-456.057925191306
2025,-511.805031153576,-516.934721981083,-506.966213336969
