"year","mean_depth","ci_lower","ci_upper"
2003,-201.692003661117,-203.588566300221,-199.694006114088
2004,-191.321050612438,-192.803989620314,-189.655049279778
2005,-201.563733567325,-203.170158494703,-200.125850238605
2006,-222.414278980658,-224.772770284838,-220.285914385884
2007,-209.630363611935,-211.44613707947,-207.440014700594
2008,-220.397448538311,-222.451050329757,-218.20329770734
2009,-214.074492413723,-215.969094265653,-212.151505145187
2010,-210.075889325588,-212.007200589694,-208.060231499732
2011,-221.666272676139,-223.812319973685,-219.323744131214
2012,-207.841983409588,-209.525681701712,-206.050301182788
2013,-198.611017233435,-200.519268697826,-196.598803130073
2014,-224.733280338104,-227.137613552886,-222.619649743823
2015,-208.096869558048,-209.709188521633,-206.656677829947
2016,-196.35582685657,-198.072486499955,-194.652602403602
2017,-181.625637399124,-182.805013975888,-180.472965876997
2018,-188.93315252156,-190.631180441959,-187.514388772531
2019,-202.659953085126,-204.638421896942,-200.73830797033
2021,-186.853673073521,-188.346406665623,-185.526499373753
2022,-206.805137695936,-208.584773870154,-205.190881409628
2023,-219.245661849067,-221.414236196557,-217.195182887164
2024,-202.03266008036,-203.828475576726,-199.910641361022
2025,-217.600925769006,-220.380993203836,-215.36220639891
