"year","mean_depth","ci_lower","ci_upper"
2003,-533.097451339202,-535.639561266949,-530.725595513125
2004,-548.870013469283,-551.389995353516,-546.38679569574
2005,-560.720286096334,-563.571090594437,-557.604769206524
2006,-554.326406191664,-557.455623313654,-551.061201726127
2007,-556.924212494358,-559.939582164078,-554.064914062209
2008,-532.366857486502,-534.647418639008,-530.018705715177
2009,-547.898585549129,-550.497109964443,-545.258215146899
2010,-542.89589327844,-545.034367824657,-540.28894586235
2011,-534.390956651406,-537.052503670423,-531.672025065348
2012,-560.163738090007,-562.373033279683,-557.382652100415
2013,-560.597972228823,-563.618362733959,-557.243428325075
2014,-539.218020680314,-541.597668853202,-536.875866326469
2015,-528.211669757411,-530.524349929812,-525.754357398186
2016,-569.074851788213,-572.642809771347,-565.855789460274
2017,-540.92357732167,-543.735592031462,-538.156164744677
2018,-572.406019486322,-575.910366095806,-568.92433757923
2019,-548.947982544147,-551.72823142884,-546.319520260551
2021,-573.448840193305,-576.787047600455,-569.875178800513
2022,-567.220059667605,-570.770152778169,-563.819913797896
2023,-566.645447717277,-569.65859914059,-563.5544912194
2024,-534.431257915566,-536.779273367175,-531.629232365716
2025,-553.958831874788,-556.985973693734,-551.01541365774
