"year","mean_depth","ci_lower","ci_upper"
2003,-280.411465204125,-282.402002832305,-278.51093698764
2004,-287.710904938215,-289.566224583885,-285.563937659584
2005,-287.865779515704,-289.882289295149,-285.904977661435
2006,-296.787899883541,-298.693238103245,-294.518991930349
2007,-284.013384338098,-286.180143306494,-281.516392495182
2008,-299.902107289271,-302.073456120688,-297.819893681633
2009,-285.068599645668,-286.88701567656,-283.241631913541
2010,-298.18476392171,-300.258787616454,-296.167780464806
2011,-298.375939901063,-300.580631411042,-296.604105203459
2012,-301.347286000068,-304.06157632421,-299.043438461386
2013,-304.238287657167,-306.484991798927,-301.281211289479
2014,-305.027073487752,-307.129551137714,-303.105051254359
2015,-295.788066060924,-297.780055059787,-293.66049829475
2016,-300.420927982677,-302.611362092516,-298.252389549316
2017,-300.417048977428,-302.55995227501,-298.192273222188
2018,-299.71394798343,-301.861968348801,-297.582248355169
2019,-294.436517157311,-296.585054292114,-291.997460617588
2021,-289.583652952804,-291.381697189733,-287.553621026318
2022,-295.043131117198,-297.210365105003,-293.052244704696
2023,-294.567859731544,-296.694906584425,-292.773339047233
2024,-285.373511181195,-287.276184988475,-283.444791969878
2025,-294.52654248858,-296.639481244284,-292.425008635408
