"year","mean_depth","ci_lower","ci_upper"
2003,-125.774381510746,-126.969662891671,-124.681088216295
2004,-127.799519568337,-129.167724205258,-126.522952332461
2005,-124.965570695939,-126.157462854462,-123.880911561038
2006,-125.273279130607,-126.484943017831,-124.248544008197
2007,-120.636528251761,-121.756973959568,-119.534206921965
2008,-118.731275697021,-119.735414292522,-117.645240193534
2009,-131.04352358685,-132.352555322735,-129.857220136746
2010,-132.625023836414,-133.718520383427,-131.498344050521
2011,-138.831341173815,-140.353281274883,-137.422721227267
2012,-131.042280280057,-132.245134990209,-129.87199388846
2013,-136.503202365151,-137.99644941839,-135.253393965447
2014,-138.846874343381,-139.996761540693,-137.752928899126
2015,-137.609173110299,-138.818752663969,-136.45788580745
2016,-135.781625661371,-136.799285921072,-134.607300526657
2017,-138.386618405542,-139.791570837862,-137.098542763036
2018,-132.787865203245,-133.849723120334,-131.65194973695
2019,-129.754404960604,-130.754252847974,-128.895833290131
2021,-135.341030459234,-136.437176817292,-134.08180309391
2022,-132.584138963053,-133.616126544779,-131.4252618223
2023,-135.109597856669,-136.191080189998,-134.116080154003
2024,-133.332245723301,-134.55151112518,-132.228737465278
2025,-141.38209580439,-142.642471593757,-140.167029444338
