"year","mean_depth","ci_lower","ci_upper"
2003,-255.089227636284,-257.196080963257,-253.099753240176
2004,-256.751124989167,-258.949682697472,-254.347805789573
2005,-256.294096549939,-258.446689440878,-254.0530289004
2006,-254.907412775705,-257.102160378247,-252.482271077157
2007,-254.629134101706,-256.602853831162,-252.72959601024
2008,-256.716518281864,-258.966612093036,-253.608532348882
2009,-253.417954407568,-255.55483111663,-251.345599229176
2010,-254.284171311375,-256.772131057434,-251.999902715105
2011,-254.153894745295,-256.699552010085,-251.782411612296
2012,-254.525197872103,-256.848419423227,-251.950560285866
2013,-255.309294905455,-257.61243268502,-252.999588356881
2014,-253.934545853778,-256.270604487098,-251.901249844114
2015,-255.936603065166,-258.170676391886,-253.915624106358
2016,-251.969162448913,-254.764881831841,-249.877851356532
2017,-253.805166142547,-255.937186561172,-251.490551939847
2018,-253.28063152478,-255.256557138216,-250.877923664105
2019,-250.833822018015,-253.348856598243,-248.32675979828
2021,-256.976009288854,-259.177331073739,-254.777261100809
2022,-256.747225610991,-258.953427377423,-254.475025159722
2023,-253.674673631357,-255.762481606323,-251.433366030707
2024,-253.033005580537,-255.374209997021,-250.954638012439
