"year","mean_depth","ci_lower","ci_upper"
2003,-320.396189854076,-322.680830984006,-318.376191193164
2004,-321.683111259951,-323.89225414974,-319.61725179074
2005,-306.700426465071,-308.880860194738,-304.773269321397
2006,-327.203680161789,-329.088280413659,-325.121416714567
2007,-296.692294098774,-298.462026023061,-294.645265497993
2008,-283.222948193646,-284.936054943753,-281.395095297634
2009,-314.65442746194,-316.623431698436,-312.734263204339
2010,-296.659433002193,-299.101334141712,-294.234999747712
2011,-347.920578924829,-349.81433770027,-346.130027885801
2012,-323.171605287105,-325.056692938845,-320.906736527959
2013,-313.456581548407,-315.57211155327,-311.298646414495
2014,-294.448436263284,-296.507623202249,-292.341763665188
2015,-358.355970001886,-359.947375973716,-356.59938954519
2016,-333.571667234475,-335.925714852377,-331.15751807
2017,-339.367677547586,-341.564312058082,-337.193361842328
2018,-336.473440319412,-338.194725301059,-334.465734113427
2019,-311.377948282652,-313.932973988423,-308.92032939566
2021,-316.822102300758,-318.776314593876,-314.793595132186
2022,-327.484222708717,-329.481777520674,-325.64825785594
2023,-315.664223631463,-318.139449118766,-313.095607538413
2024,-312.00069556065,-313.918380680525,-310.243723972565
2025,-296.913670082068,-299.149152084144,-294.62467969919
