"year","mean_depth","ci_lower","ci_upper"
2003,-158.908326502426,-160.308301252528,-157.485699788652
2004,-146.267255288009,-147.550064667512,-144.774881254546
2005,-155.560151246799,-157.145514525087,-153.978648637734
2006,-152.749481185829,-154.241010175457,-150.777365957324
2007,-165.323289984754,-167.513381306417,-163.606186084229
2008,-148.759565035942,-150.204186354031,-147.36337421984
2009,-152.588031333442,-154.412821289758,-150.707642994334
2010,-183.493904965019,-185.558564289952,-181.504618654933
2011,-118.7038700367,-119.107013934957,-118.273721200257
2012,-145.005417878944,-145.53544764937,-144.483988227862
2013,-137.086847076322,-138.600177186519,-135.896121003743
2014,-147.154300798883,-148.379022578424,-145.875314009659
2015,-157.758802879482,-159.065954061066,-156.349775391864
2016,-150.614075079379,-151.980147691589,-149.510213399658
2017,-149.271655418937,-150.504885965728,-148.015045498979
2018,-126.583842124467,-127.999273282978,-125.064657823576
2019,-158.363299407468,-159.698777492403,-156.86142666885
2021,-149.920461778005,-151.169518146265,-148.669989897242
2022,-157.669395108788,-158.947215748997,-156.444480987071
2023,-131.361789748564,-132.139292614683,-130.58082044606
2024,-150.759587591696,-152.147300032934,-149.336416220586
