"year","mean_depth","ci_lower","ci_upper"
2003,-182.271315750483,-184.48606467511,-179.771869765494
2004,-171.712831639377,-174.210169191464,-169.224294181112
2005,-182.595324266591,-184.497575612317,-181.102750708008
2006,-233.995609178936,-237.847234898183,-229.888448562197
2007,-165.615262353908,-167.406814624641,-164.056629532601
2008,-187.038377857259,-189.705450171692,-184.61456404696
2009,-193.139429815638,-195.484378033671,-191.091316267478
2010,-176.545794255635,-178.331700401882,-174.622114964965
2011,-198.990559382672,-201.946807667787,-196.224152452586
2012,-174.130600424882,-176.112220153168,-171.921907393904
2013,-192.469032603935,-194.4584474629,-190.228234730136
2014,-168.297874732316,-170.255650377455,-166.295107997253
2015,-182.036719381916,-183.86518531068,-180.272541312356
2016,-186.419672380814,-188.538070715483,-184.309500517311
2017,-182.941724057118,-185.097092344954,-180.563504397118
2018,-146.372884254341,-147.634803085487,-145.042660318097
2019,-182.647650898513,-184.636712615356,-180.749164867551
2021,-176.510957715663,-179.245941074049,-174.660599894308
2022,-192.114486312692,-195.447000175321,-189.133267180881
2023,-185.29856813521,-187.272996786336,-183.147252689699
2024,-199.091241672006,-201.285602872852,-196.430580742908
2025,-206.940168500804,-208.97636907817,-204.964585166908
