"year","mean_depth","ci_lower","ci_upper"
2003,-319.48912248069,-321.375009412166,-317.722357318696
2004,-320.43141217354,-322.295745319045,-318.703329996914
2005,-311.745765067706,-313.709227445696,-310.087087719728
2006,-314.638939550495,-316.665812588576,-312.813588504347
2007,-309.116033163032,-311.042859179865,-307.475107385533
2008,-310.748471630441,-312.274313194272,-308.944407695618
2009,-322.785382495411,-324.206774667752,-321.117296078999
2010,-315.101113934022,-316.820120485558,-313.542035301462
2011,-330.600070446158,-331.972726900255,-328.92878697345
2012,-318.515940706669,-320.29189255173,-316.557856796091
2013,-326.792019000557,-328.234627002197,-325.40901762302
2014,-304.501946090256,-306.502872387101,-302.620075724694
2015,-332.662558072607,-334.022217849142,-331.205246031674
2016,-323.457424723135,-324.849190385581,-322.069275874367
2017,-319.090004569192,-320.943474466003,-317.379720285982
2018,-326.500828082641,-328.192098642101,-324.889255961832
2019,-316.285532521674,-317.866235633475,-314.582501879461
2021,-315.185378273372,-316.641419524314,-313.688024131069
2022,-320.473973105618,-321.850288925846,-319.01929453389
2023,-308.869341283809,-311.04758959173,-306.957053903611
2024,-314.440833802017,-316.03545437038,-312.725179307918
