"year","mean_depth","ci_lower","ci_upper"
2003,-332.052690038263,-333.799007755771,-329.758849474482
2004,-333.541389857863,-335.692518556674,-331.518665202314
2005,-329.825912624097,-331.591364231238,-327.90616391007
2006,-337.164885049847,-338.795476296566,-335.478494729606
2007,-331.77709398724,-333.8713994169,-329.512715385692
2008,-330.173499519656,-332.160695121528,-328.221807382898
2009,-332.338920663516,-333.958771609818,-330.406929250325
2010,-328.189412398229,-329.877088047003,-326.261692551357
2011,-325.21784243122,-327.11653388763,-323.300989509339
2012,-328.046167470711,-329.632929883666,-326.345930537368
2013,-336.666149159404,-338.575702593802,-334.753730956129
2014,-330.53510222828,-332.507590544558,-328.886623740002
2015,-330.6977400546,-332.682350907148,-329.044064468328
2016,-328.973329533902,-330.752624963092,-327.037380162795
2017,-329.711700584904,-331.476392719325,-328.061080796862
2018,-333.59705178214,-335.330149942374,-331.753738804115
2019,-329.963857867638,-331.668642839309,-328.219787242484
2021,-334.246433720584,-336.256327476601,-332.42318146089
2022,-338.630233320262,-340.619871281679,-336.848601874115
2023,-332.216515830939,-334.138541783736,-330.618714524668
2024,-327.625403244981,-329.319889926122,-325.833748689911
