"year","mean_depth","ci_lower","ci_upper"
2003,-206.696256359579,-209.49675330717,-204.135459105203
2004,-183.313768567171,-185.184089384529,-181.244442435825
2005,-200.464023451864,-202.667912047332,-198.326605729489
2006,-258.781634226419,-261.694158179621,-255.680886325673
2007,-172.156836990926,-174.0345475976,-170.347895640432
2008,-193.022347896963,-195.189264283519,-191.014447975682
2009,-198.938609647131,-200.704232357282,-197.099730313629
2010,-185.254345502862,-186.649250697358,-183.790583018796
2011,-208.128216758862,-210.67894874238,-205.908112577631
2012,-184.51369298923,-186.988341935477,-182.36532841279
2013,-202.530147030199,-204.518334184986,-200.754001559765
2014,-174.80420001587,-177.568681838401,-172.098026948645
2015,-190.521778892457,-192.117665682217,-188.860248575502
2016,-201.094588508387,-203.479627701282,-198.877925395053
2017,-189.418878126239,-191.424000796685,-187.613700492295
2018,-168.425798182643,-170.284364097619,-166.71621479273
2019,-185.72871326191,-187.44152403989,-184.251797900665
2021,-179.300980064182,-180.764224939357,-177.670035561835
2022,-184.513205262416,-187.090091951691,-181.845174111909
2023,-187.559751170027,-189.333926579234,-185.736849037798
2024,-196.572006205165,-198.138455538579,-194.895974357791
