"year","mean_depth","ci_lower","ci_upper"
2003,-262.668585444691,-266.131457628935,-259.536717437691
2004,-232.643165173563,-235.88587314936,-229.591615019143
2005,-225.997760377844,-228.614167832706,-223.203646503242
2006,-274.803733757039,-277.610650199297,-271.347588806753
2007,-232.199761783255,-234.722721817428,-229.489498036018
2008,-218.062695871158,-220.026152092736,-216.276238420836
2009,-269.078956896624,-273.149769118609,-265.214606973429
2010,-225.771572799821,-228.237099208325,-223.17359471905
2011,-294.394185882523,-299.438981464453,-290.083251116643
2012,-263.840364747244,-267.073444557448,-260.537527031146
2013,-286.684061560593,-290.59351582575,-282.658585486093
2014,-244.878054062908,-246.507764263264,-243.352943402754
2015,-246.861371961325,-250.121277055254,-243.790731537442
2016,-269.16652336138,-272.908435438918,-265.418627799438
2017,-226.851779118457,-228.64941871934,-224.946140591262
2018,-237.637323157232,-239.859206892168,-235.433274211566
2019,-223.805156252171,-225.820955313187,-221.798001476373
2021,-218.391391283844,-220.055543751922,-216.81075160638
2022,-242.251259498749,-245.14314953151,-239.651561292649
2023,-216.148552656649,-218.764463298286,-213.867613579842
2024,-238.666634677009,-241.062407009857,-236.121621425862
2025,-235.987401114148,-237.779651345147,-234.020826176866
