"year","mean_depth","ci_lower","ci_upper"
2003,-121.441024044256,-122.413426315929,-120.434844116042
2004,-121.04339492275,-122.18008167162,-119.912023692867
2005,-119.429942723801,-120.361392731212,-118.509057472853
2006,-118.46129347574,-119.278061015208,-117.62209064682
2007,-115.348292250462,-116.105438085355,-114.515091359223
2008,-115.071715965794,-115.991539218761,-114.226681505675
2009,-123.278002536734,-124.153079159551,-122.330164050141
2010,-124.157221673432,-125.20369602519,-123.06223693007
2011,-129.562582313364,-130.565904328008,-128.498639185792
2012,-125.01651862443,-126.053345210689,-123.935401904696
2013,-125.61292770966,-126.738371628108,-124.469575254054
2014,-130.743335674734,-131.762227811659,-129.77278702398
2015,-128.032938545195,-129.082522731465,-127.034445610507
2016,-126.324709714079,-127.39852257333,-125.214611598626
2017,-126.137560224118,-127.11011883587,-125.23489181526
2018,-125.279076016703,-126.14240001789,-124.304866168948
2019,-122.869811604475,-123.793989509117,-122.070505188778
2021,-126.487044874034,-127.503701637256,-125.572903324576
2022,-124.771571842467,-125.648279709509,-123.864007328096
2023,-126.598169147646,-127.574921441739,-125.71746945795
2024,-126.55624570344,-127.4948145162,-125.631807783039
2025,-132.080807845933,-133.227155992944,-130.945840092421
