"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2003,6698.29511151768,4859.9334472769,9232.05181464398,8.80960831203086,0.163690910515032,5237.4841257517,"index","Coastwide",19,"Pacific cod"
2004,6229.46499245975,4177.2636760535,9289.8694221151,8.73704573208427,0.203898667031946,4704.04770181021,"index","Coastwide",19,"Pacific cod"
2005,1630.54398974198,983.829044909121,2702.37366567003,7.39666897416135,0.257768423826297,1212.14551600886,"index","Coastwide",19,"Pacific cod"
2006,1339.62417256013,588.341017235388,3050.25974925254,7.20014438536767,0.419822838984471,939.77500172255,"index","Coastwide",19,"Pacific cod"
2007,442.681001313802,250.827939833524,781.278469433086,6.09284942332997,0.289843192228022,334.360092844992,"index","Coastwide",19,"Pacific cod"
2008,972.406726498497,488.969079006219,1933.81316393525,6.87977415983731,0.350758948072806,691.672990194732,"index","Coastwide",19,"Pacific cod"
2009,908.1625859497,485.14053332522,1700.04199992492,6.81142342198804,0.319896089180642,659.07792896282,"index","Coastwide",19,"Pacific cod"
2010,4918.5736478706,3108.67125870326,7782.22099290701,8.50077385848524,0.234097767220679,3857.81080971878,"index","Coastwide",19,"Pacific cod"
2011,5782.00443991578,3417.41889394175,9782.69752135792,8.66250569046181,0.268303325399529,4433.06156728758,"index","Coastwide",19,"Pacific cod"
2012,3299.54683878935,1731.87529684061,6286.25476743364,8.10154041644612,0.328873558144361,2544.33794673133,"index","Coastwide",19,"Pacific cod"
2013,2810.00246118005,1608.39207165408,4909.32153359692,7.94094063819219,0.284673798559283,2085.35091114283,"index","Coastwide",19,"Pacific cod"
2014,2488.06710730901,1559.76399328379,3968.85551732743,7.8192614258864,0.238255206283235,1894.20534897271,"index","Coastwide",19,"Pacific cod"
2015,4168.83170477395,2937.79102296731,5915.72295199358,8.33539110881794,0.178563425851155,3185.65185666691,"index","Coastwide",19,"Pacific cod"
2016,4103.24378734264,2473.31165592455,6807.31420888092,8.3195331075288,0.258280166634634,3110.48827581625,"index","Coastwide",19,"Pacific cod"
2017,2490.06833653591,1423.16715027145,4356.78993815733,7.82006543347409,0.285426356503649,1836.81196966344,"index","Coastwide",19,"Pacific cod"
2018,606.928288432623,226.786897733503,1624.26467746216,6.40841064311263,0.502254046924882,420.135256676191,"index","Coastwide",19,"Pacific cod"
2019,1077.1425099014,453.530364789211,2558.23220827989,6.98206698957393,0.441337071776307,768.900180108999,"index","Coastwide",19,"Pacific cod"
2021,195.063730018721,61.603765383158,617.654757499924,5.27332632577835,0.588073729848425,130.769491262437,"index","Coastwide",19,"Pacific cod"
2022,1320.46832312604,680.324537416779,2562.94826436801,7.18574174290424,0.33835917542916,959.268942276779,"index","Coastwide",19,"Pacific cod"
2023,1759.97364649055,1024.20958979464,3024.29040618759,7.47305411433518,0.276218163402903,1321.54027458193,"index","Coastwide",19,"Pacific cod"
2024,1137.64442261884,473.388265668926,2733.98165137642,7.03671510770538,0.447354749984136,781.935870712134,"index","Coastwide",19,"Pacific cod"
2003,45.4568892814161,13.6159780401669,151.757646571351,3.81676438848559,0.615072745704036,32.5609692063222,"index","California",19,"Pacific cod"
2004,30.9000888086151,7.35879210497761,129.751659614687,3.43075905796478,0.732086541478348,20.9008061428233,"index","California",19,"Pacific cod"
2005,3.40608357363492,0.755422314535941,15.357509418705,1.22556311911942,0.768402613574822,2.27238712962907,"index","California",19,"Pacific cod"
2006,1.96112762660606,0.364589179081462,10.5489185870165,0.673519627506467,0.858436041086877,1.3000003595651,"index","California",19,"Pacific cod"
2007,0.700237061532788,0.148783439055138,3.29560833825302,-0.356336341938306,0.790283459149746,0.464684220819944,"index","California",19,"Pacific cod"
2008,1.90038753596825,0.40165308344,8.99152262428218,0.642057831673174,0.792986189231959,1.26155397685698,"index","California",19,"Pacific cod"
2009,1.56052243047011,0.338721807629419,7.18946994598182,0.445020656524856,0.779400439771415,1.0423639066109,"index","California",19,"Pacific cod"
2010,10.7557371256237,2.56567231860639,45.0898894128294,2.37543929831842,0.731247488642193,7.21151875692991,"index","California",19,"Pacific cod"
2011,8.06982158467855,1.78265308898951,36.5309553556817,2.08813137357136,0.770436922023936,5.37763072276525,"index","California",19,"Pacific cod"
2012,4.6194096303489,0.950923067839904,22.4402436481358,1.5302669112896,0.806437791476525,3.06664822193127,"index","California",19,"Pacific cod"
2013,6.3208951174713,1.37365536133649,29.0856907857876,1.84386083064111,0.778782421036965,4.22829302232372,"index","California",19,"Pacific cod"
2014,5.81335350758436,1.30274488055976,25.9414406523114,1.76015760014805,0.76311816281546,3.87301557197444,"index","California",19,"Pacific cod"
2015,20.3685206610101,5.04917114269883,82.1672750225377,3.01399060418521,0.711628639877652,13.8075188632523,"index","California",19,"Pacific cod"
2016,9.24562641165342,2.06233500338905,41.4489438444243,2.22415061934775,0.765479260594674,6.16830479107798,"index","California",19,"Pacific cod"
2017,4.28413127433423,0.919332571668632,19.9642450853401,1.45491779505118,0.785231333322923,2.84778629060846,"index","California",19,"Pacific cod"
2018,0.60352977195144,0.0958959910307036,3.79836718633143,-0.504959907513139,0.938553569660304,0.399302634671036,"index","California",19,"Pacific cod"
2019,1.40345897673028,0.241913405724816,8.14215770086508,0.33893988713026,0.897014100994952,0.929449649261232,"index","California",19,"Pacific cod"
2021,0.214001947869228,0.0323665049119881,1.41494529039684,-1.54177016180906,0.963722314810567,0.141536416289577,"index","California",19,"Pacific cod"
2022,2.96635687611681,0.632858585788984,13.9040115976548,1.08733455883659,0.78819960774547,1.97660663863177,"index","California",19,"Pacific cod"
2023,2.21981702407945,0.459309534062821,10.7282502429375,0.79742477090151,0.803818699416334,1.47347105526335,"index","California",19,"Pacific cod"
2024,1.34735888962879,0.243839046259508,7.44497653394571,0.298146298190425,0.872155421988734,0.891699491441422,"index","California",19,"Pacific cod"
2003,1212.75084017646,682.061988708977,2156.35033867318,7.10064647991128,0.293641076164059,870.730238744188,"index","Oregon",19,"Pacific cod"
2004,1048.1295684627,583.710424284364,1882.05580469574,6.95476249126822,0.298657263530885,750.932302986397,"index","Oregon",19,"Pacific cod"
2005,144.397113983649,64.904710804455,321.248277180149,4.97256723999618,0.40799067719766,96.446842638996,"index","Oregon",19,"Pacific cod"
2006,93.8823757434084,32.4359203188772,271.732708323893,4.54204267683442,0.54224272726569,61.0467856650695,"index","Oregon",19,"Pacific cod"
2007,26.2439964239099,10.4970917448278,65.6131588673179,3.26743725521947,0.467528495590815,16.8941785863897,"index","Oregon",19,"Pacific cod"
2008,80.0072950321081,31.8282685770608,201.115786202968,4.38211781841787,0.47029587370964,51.863510576751,"index","Oregon",19,"Pacific cod"
2009,60.0699340268758,23.1504787413349,155.867056327888,4.09550945059071,0.48648546494837,38.5429664444503,"index","Oregon",19,"Pacific cod"
2010,447.350651540774,244.09745537425,819.847159517201,6.10334274243778,0.309074653612611,316.468503690242,"index","Oregon",19,"Pacific cod"
2011,298.056089397471,130.937178502246,678.473703520267,5.69728168824895,0.419683239067941,196.572458457228,"index","Oregon",19,"Pacific cod"
2012,178.662009093432,69.6004125115246,458.61960211825,5.18549580355599,0.480991139010491,115.5889160234,"index","Oregon",19,"Pacific cod"
2013,224.920301704629,97.9976006057595,516.228375043788,5.4157461248095,0.423886937008346,150.253111466553,"index","Oregon",19,"Pacific cod"
2014,203.271568430888,95.1685071930845,434.170207677227,5.31454286053898,0.387197819067944,135.946775507095,"index","Oregon",19,"Pacific cod"
2015,741.841819529381,456.011368036606,1206.83238133328,6.60913603921378,0.248279205099526,546.753736001726,"index","Oregon",19,"Pacific cod"
2016,453.617081963384,218.478697690844,941.823890492727,6.11725341035391,0.372744040063698,320.422984234785,"index","Oregon",19,"Pacific cod"
2017,167.636080849313,69.3988697626787,404.93246790065,5.12179544440917,0.449969933032396,108.867440655382,"index","Oregon",19,"Pacific cod"
2018,25.1555713145979,6.24098055162687,101.394766884647,3.22507939545631,0.711208010316295,15.5608433085683,"index","Oregon",19,"Pacific cod"
2019,56.947503289299,16.3466484528754,198.390400346211,4.04212984853356,0.636800966568648,35.8084408337701,"index","Oregon",19,"Pacific cod"
2021,8.85565246967038,2.09166354094359,37.4929232778045,2.18105595227752,0.736287126539803,5.48780445241189,"index","Oregon",19,"Pacific cod"
2022,128.455893038547,56.5424187700687,291.83251822728,4.85558560057707,0.418678340977832,86.2067919255577,"index","Oregon",19,"Pacific cod"
2023,85.8926671269929,32.4209954448583,227.554711536731,4.4530984601193,0.497097011636435,54.9958121451808,"index","Oregon",19,"Pacific cod"
2024,54.9658060435229,16.4104441224019,184.104696465216,4.00671128359214,0.616742615813065,34.20773440517,"index","Oregon",19,"Pacific cod"
2003,5440.08738205982,3945.87215109451,7500.1291454001,8.60155040259963,0.16384235562296,4334.1929178012,"index","Washington",19,"Pacific cod"
2004,5150.43533518844,3407.93974669936,7783.87709690276,8.54683652118978,0.210704541824981,3932.21459268099,"index","Washington",19,"Pacific cod"
2005,1482.7407921847,892.232116353401,2464.06760809505,7.3016475407415,0.259148242463722,1113.42628624024,"index","Washington",19,"Pacific cod"
2006,1243.78066919011,543.918669938055,2844.15747896129,7.1259109468141,0.422003272228188,877.428215697916,"index","Washington",19,"Pacific cod"
2007,415.736767828359,235.552950746492,733.750350299719,6.03005229033469,0.289860713104379,317.001230037782,"index","Washington",19,"Pacific cod"
2008,890.499043930421,444.85633217787,1782.57223710582,6.79178202909682,0.354103776176742,638.547925641124,"index","Washington",19,"Pacific cod"
2009,846.532129492354,452.323705599568,1584.30044101484,6.7411481565438,0.319776319945988,619.492598611759,"index","Washington",19,"Pacific cod"
2010,4460.4672592042,2763.22599009257,7200.19580076623,8.40300880616418,0.244318108290871,3534.13078727161,"index","Washington",19,"Pacific cod"
2011,5475.87852893362,3212.06359764876,9335.19675189045,8.60810800371775,0.272167821980218,4231.11147810759,"index","Washington",19,"Pacific cod"
2012,3116.26542006557,1625.90741477766,5972.73256769322,8.04439058310168,0.331929178407279,2425.682382486,"index","Washington",19,"Pacific cod"
2013,2578.76126435795,1472.38690720397,4516.48247211137,7.85506443252248,0.285936031286231,1930.86950665395,"index","Washington",19,"Pacific cod"
2014,2278.98218537054,1425.5632151943,3643.3037454101,7.73148421235271,0.239372744960651,1754.38555789364,"index","Washington",19,"Pacific cod"
2015,3406.62136458356,2343.90572403048,4951.16719186195,8.13347627693372,0.19077000910143,2625.09060180194,"index","Washington",19,"Pacific cod"
2016,3640.3810789676,2163.31917367763,6125.94505764788,8.19984364717503,0.26553787496455,2783.89698679038,"index","Washington",19,"Pacific cod"
2017,2318.14812441226,1322.58077243291,4063.12479262104,7.74852392367526,0.286323468528373,1725.09674271745,"index","Washington",19,"Pacific cod"
2018,581.169187346073,218.051155124502,1548.98342147119,6.36504191471276,0.500168488119874,404.175110732952,"index","Washington",19,"Pacific cod"
2019,1018.79154763537,430.739114095281,2409.66325919423,6.92637244667843,0.439227378849113,732.162289625968,"index","Washington",19,"Pacific cod"
2021,185.994075601182,58.7964470397953,588.36541832747,5.22571482159938,0.587578854559392,125.140150393735,"index","Washington",19,"Pacific cod"
2022,1189.04607321138,603.400065819623,2343.106413651,7.08090664548703,0.346091160363855,871.08554371259,"index","Washington",19,"Pacific cod"
2023,1671.86116233948,974.311483919504,2868.81535553166,7.42169275331859,0.275495726643236,1265.07099138149,"index","Washington",19,"Pacific cod"
2024,1081.33125768569,450.085474493259,2597.90052137223,6.98594820703917,0.447207553764865,746.836436815522,"index","Washington",19,"Pacific cod"
