"year","mean_depth","ci_lower","ci_upper"
2003,-171.229831780805,-172.865376006745,-169.906787337623
2004,-171.859888160002,-172.894400311323,-170.749935221148
2005,-171.567791306435,-172.949889232149,-170.451597461587
2006,-171.593936124634,-172.665330486366,-170.249820469295
2007,-171.564214328208,-172.774624729602,-170.430191292139
2008,-171.28628472596,-172.508547250458,-169.966665097197
2009,-171.731153218926,-172.954040798436,-170.600366290553
2010,-171.595742385693,-172.860538047409,-170.341692252416
2011,-171.577098999248,-172.998475406121,-170.545917782657
2012,-171.416774497035,-172.734837000636,-170.19114273308
2013,-171.165751407467,-172.231225998035,-169.966611757467
2014,-171.236725149936,-172.364287070346,-170.105068007215
2015,-171.647232511713,-172.873970027387,-170.45300711787
2016,-170.912500501032,-171.931625212702,-169.667582622312
2017,-171.228554566326,-172.372123738489,-169.908812883336
2018,-170.925681605291,-172.133149962876,-169.771595187261
2019,-171.196570353606,-172.398889169769,-170.033078892945
2021,-171.106284686523,-172.326794000508,-169.947056979627
2022,-171.172568032571,-172.299763173786,-169.893843700519
2023,-171.475054254554,-172.70797257307,-170.114293829801
2024,-171.136388968437,-172.437141018314,-169.805078290873
