"year","mean_depth","ci_lower","ci_upper"
2003,-166.401160551511,-167.88067795077,-165.00106642758
2004,-167.801528388961,-169.201425873811,-166.252101643875
2005,-167.009650332949,-168.564685766098,-165.77357127726
2006,-167.080427198298,-168.484711729858,-165.962621088032
2007,-167.525377894535,-168.851772966894,-166.015230806163
2008,-166.626357362186,-167.999778839455,-165.518789416223
2009,-168.157530581702,-169.407286005271,-166.689042593111
2010,-166.782968499554,-168.232053758197,-165.482805231349
2011,-167.490144471951,-168.766691896794,-166.091334492843
2012,-166.647847341801,-167.976362647248,-165.505447036111
2013,-166.429084711421,-167.953951159425,-165.229503002597
2014,-166.241376394264,-167.709998282871,-164.961338887832
2015,-167.214249860964,-169.042922064626,-165.850888139514
2016,-165.948664948873,-167.230344736531,-164.705859141658
2017,-166.261314660214,-167.784770165188,-164.873261382353
2018,-166.036425064377,-167.312780690018,-164.729271387517
2019,-166.258441365935,-167.738589845938,-164.980258558667
2021,-166.320373457419,-167.756404016643,-164.753071762737
2022,-166.360038032439,-167.735172964897,-164.942154752699
2023,-167.263192096072,-168.79507987846,-165.88290596595
2024,-166.17522686997,-167.370715369436,-164.795805684368
2025,-166.961242064674,-168.267589472092,-165.637736703741
