"year","mean_depth","ci_lower","ci_upper"
2003,-349.518393999062,-352.782073478716,-345.95112339574
2004,-350.169327593903,-353.569863825666,-346.581814282109
2005,-344.667313362957,-347.971454245582,-341.360608025932
2006,-341.160897789902,-344.507868563226,-337.418793536322
2007,-332.422197457427,-335.59665077349,-329.054991472922
2008,-335.760018616022,-338.872355122852,-332.782036506934
2009,-342.776595592099,-345.984104713657,-338.62700855908
2010,-342.971413336589,-346.164824733376,-339.324585333679
2011,-347.48084093661,-350.829792885437,-344.56224147211
2012,-344.563196445403,-347.509610278154,-341.306998112231
2013,-359.391536604796,-362.377028225713,-356.032228786798
2014,-352.667036347921,-355.707981650004,-349.174332565031
2015,-348.728617800076,-351.945971153437,-344.906656970438
2016,-352.344191419486,-355.791398819698,-348.608204887511
2017,-347.103102804006,-350.974467700412,-343.297689768264
2018,-344.082205815314,-347.056917800061,-340.494234396295
2019,-345.206077103149,-348.976423946851,-341.566625044346
2021,-345.721626463502,-349.463327627486,-341.990762818445
2022,-338.102958824128,-342.371106199701,-334.750867904026
2023,-343.289435443822,-347.278657271262,-339.40621432463
2024,-349.535932644521,-353.054456596407,-346.53990491932
