"year","mean_depth","ci_lower","ci_upper"
2003,-162.699512627582,-164.491213064031,-160.589036019638
2004,-143.676316934916,-144.390578313942,-142.836146728077
2005,-153.995089043179,-154.906389223839,-153.076664274567
2006,-151.326366894751,-152.176420744806,-150.396228662355
2007,-152.730677650084,-153.602743886581,-151.860508940116
2008,-159.511541867922,-160.344175835186,-158.662080861352
2009,-148.133722500384,-148.95043224317,-147.371658896914
2010,-149.86504458914,-150.673767184621,-149.02945752083
2011,-153.788842576263,-154.804940504589,-152.690968339781
2012,-151.397405173763,-152.302385058461,-150.564306102282
2013,-149.776355739057,-150.492302970989,-149.053281329598
2014,-152.820142066014,-153.815847053984,-151.933208156583
2015,-148.098450490947,-148.946332015033,-147.178391657543
2016,-148.261486869837,-148.980174621734,-147.422232226155
2017,-148.965794597785,-149.938339556047,-148.069976426127
2018,-149.691013391567,-150.759678567347,-148.67357489505
2019,-151.004590011706,-151.858367725019,-150.07937625381
2021,-149.240008113537,-150.531971114215,-148.097123285981
2022,-155.418815548565,-156.340964459825,-154.67199660632
2023,-151.186700901906,-152.090054951447,-150.376476251846
2024,-155.884796077117,-156.661012973503,-155.10533863774
2025,-160.099276132984,-161.30901135708,-158.939079158929
