"year","mean_depth","ci_lower","ci_upper"
2003,-163.020120832293,-164.119790768247,-162.059861049161
2004,-162.958534094601,-164.236069262211,-161.692382179119
2005,-161.729929756743,-163.048038444836,-160.496533149095
2006,-161.468424929087,-162.678079021287,-160.29220861152
2007,-161.977673627146,-163.057008084966,-160.835587236516
2008,-165.087370703805,-166.129568237478,-163.840444271825
2009,-161.290325641975,-162.365176180115,-160.292367289691
2010,-163.679552191602,-164.899050890808,-162.501749273149
2011,-162.896430279564,-164.364354128827,-161.492261440943
2012,-163.084917190568,-164.280715356562,-161.726471104459
2013,-162.44492107021,-163.536272715628,-161.349377269844
2014,-162.302052064486,-163.537195540099,-161.272928886891
2015,-162.573665902262,-163.772094228401,-161.437778628518
2016,-160.083841301852,-161.364796195228,-158.841705452385
2017,-159.957243283744,-161.086739594818,-158.890894145692
2018,-160.807727761322,-162.015818747771,-159.606191019289
2019,-160.646553079203,-161.890976945148,-159.276319719847
2021,-162.023919355937,-163.21682242976,-160.948988316879
2022,-161.413502522925,-162.635916280885,-160.235370017986
2023,-160.613355512667,-161.975201754885,-159.458393963015
2024,-162.730836855652,-164.033726192284,-161.671004902728
