"year","mean_depth","ci_lower","ci_upper"
2003,-520.429290260875,-521.923514470578,-518.906940164315
2004,-532.486969587496,-534.631215740307,-530.353611880236
2005,-546.947249274226,-549.155460726205,-544.812708177217
2006,-548.11871974311,-550.724804149464,-545.522558035488
2007,-535.111785395786,-537.190904132503,-532.770476010897
2008,-523.918698259603,-525.8891552581,-522.015129204178
2009,-534.958980493369,-537.595899404251,-532.813939012539
2010,-524.689711277043,-526.7525519673,-522.592637487078
2011,-518.180664676531,-520.174348034764,-516.124731429673
2012,-548.639059070301,-551.145610443078,-545.991719926273
2013,-547.935125840713,-550.372828842016,-545.264191696091
2014,-521.927002206081,-523.82323484098,-520.075246084782
2015,-519.860026103736,-521.640029086569,-518.202119100067
2016,-549.200344483539,-551.443461224748,-546.53123543017
2017,-524.758267453747,-526.921761607026,-523.057811866702
2018,-559.935340678034,-562.740526054452,-557.16226323611
2019,-529.325345302498,-531.153406420686,-527.41266872645
2021,-552.032863239565,-554.606071775083,-549.645403894482
2022,-540.738456872417,-543.088049195843,-538.119160362437
2023,-541.508573604439,-543.906009582575,-539.096371038882
2024,-529.683554069151,-531.582488201748,-527.486337321563
