"year","mean_depth","ci_lower","ci_upper"
2003,-254.921902454371,-258.242782324788,-251.597885711776
2004,-233.808560980598,-236.639010353799,-231.18823826599
2005,-221.912740478743,-224.365610996743,-219.188895255847
2006,-284.46078936705,-287.956366312876,-280.623514771524
2007,-229.749065506282,-232.430572513773,-227.799994353554
2008,-214.239976835623,-216.119640777816,-212.440799198716
2009,-256.640097737164,-259.451835144354,-253.294268972428
2010,-217.510690017106,-219.251281639957,-215.614385801356
2011,-269.05075240912,-273.147173760942,-265.685181124527
2012,-264.800820750169,-267.575895236428,-261.654026829088
2013,-266.062149387507,-269.33361438313,-262.27902352608
2014,-257.040356916349,-259.219132519231,-254.815604983927
2015,-247.790777295861,-250.919531611913,-245.044660978745
2016,-262.742830272629,-266.57905896013,-259.071990012146
2017,-230.830980571279,-232.625089823807,-228.732839146774
2018,-240.247200833376,-242.322657414484,-238.089977734985
2019,-225.247823958007,-227.455391325198,-223.050732732124
2021,-213.888513385829,-215.440724880003,-212.412711502304
2022,-238.64665240962,-240.98480561018,-236.059510660778
2023,-211.143770527761,-212.981327538364,-209.381541975749
2024,-234.314253249676,-236.799294669254,-231.862539805874
2025,-245.506626180756,-247.239917053169,-243.66983549047
