"year","mean_depth","ci_lower","ci_upper"
2003,-676.607506072202,-683.446437764704,-669.715194804536
2004,-601.889255530829,-609.938592192687,-594.663004173514
2005,-583.448472469634,-589.743615654185,-576.12696215478
2006,-501.772231821484,-509.152890654059,-494.745735460405
2007,-472.366314000234,-481.076298703566,-464.669517502271
2008,-464.304274526195,-472.344915996993,-458.008604281146
2009,-629.468651044896,-635.501308561756,-622.89484877671
2010,-636.3129734,-643.872455790883,-628.624923779215
2011,-654.076712504047,-661.66073716656,-646.506154275774
2012,-674.940370052332,-682.539844040289,-666.260203762183
2013,-677.895877935747,-684.810486823839,-670.670042087054
2014,-646.62546258857,-653.988910445994,-639.776437491746
2015,-685.366497798301,-692.7243095724,-678.306394866505
2016,-618.964968547856,-627.201338831405,-612.168453479425
2017,-667.69941606032,-674.874743707331,-660.911452887822
2018,-667.564443793916,-674.146890182124,-660.385432340314
2019,-612.217913248378,-619.822194779878,-604.536037275364
2021,-555.766856650823,-562.590535487832,-548.256742513345
2022,-497.955757828268,-506.272429872838,-490.618705201914
2023,-545.027065583876,-552.768347135278,-538.153287482753
2024,-599.782094952396,-607.38729364595,-592.15226981557
2025,-552.190107826622,-558.937858196672,-545.135035880186
