"year","mean_depth","ci_lower","ci_upper"
2003,-427.057031035879,-430.102253562023,-423.664489849231
2004,-205.828440605423,-208.349119567752,-203.85964105291
2005,-180.224402277337,-181.576720294717,-178.851208996082
2006,-213.50534000129,-215.744336414877,-211.218206955809
2007,-222.412952890306,-224.560102135697,-219.828177490828
2008,-225.912268300656,-228.476524749295,-222.888884394317
2009,-240.994450711758,-243.291783236002,-238.570150888238
2010,-225.089023191906,-227.599904187408,-221.826048843525
2011,-162.954467779693,-163.78193645162,-162.20575048694
2012,-229.357843478712,-231.297847244705,-227.793143711724
2013,-180.582327823489,-182.054849614331,-179.033057101834
2014,-303.886051302677,-307.182836038461,-300.183050382368
2015,-530.361179164449,-533.676234941183,-526.691977430155
2016,-196.305034136172,-197.621288591102,-194.941806685435
2017,-187.745027149605,-189.294992704787,-186.375790959355
2018,-212.713631324292,-214.933677576793,-210.506874896478
2019,-147.867065221485,-148.540621707735,-147.227216460172
2021,-179.696539355042,-181.118025761428,-178.048849622075
2022,-248.39421991208,-251.55331338709,-244.777823822776
2023,-135.470443205829,-135.950837426511,-135.000082723684
2024,-282.373695751421,-284.108364080712,-280.692339112339
2025,-225.585189167903,-227.525189688655,-223.280402265524
