"year","mean_depth","ci_lower","ci_upper"
2003,-137.557855452414,-139.14625437034,-136.024565016344
2004,-123.312696264257,-125.245788718343,-121.663933493026
2005,-145.910384635826,-148.065174047196,-143.940370851905
2006,-119.631261085889,-120.664894940031,-118.714671938515
2007,-115.884028788399,-116.730263598769,-115.025894882468
2008,-112.085174818907,-113.010654594803,-111.166183480966
2009,-114.801749572011,-115.607505328528,-113.803295392869
2010,-122.855950087252,-123.773095635959,-121.920152575904
2011,-161.876266099557,-163.684859980043,-160.129825051612
2012,-159.206749525986,-161.321305701539,-157.238810357126
2013,-151.623996898331,-153.678196850199,-149.269492615151
2014,-161.078656050926,-163.013497523632,-159.060781903889
2015,-147.00441058529,-149.086727537657,-145.272737545296
2016,-141.890618831196,-144.484357633963,-139.857010368081
2017,-140.382419423297,-142.067479914344,-138.702750126382
2018,-138.851516824539,-140.250665440473,-137.573740732486
2019,-119.080088663366,-120.28176901336,-117.944571962278
2021,-138.485077980307,-140.072276315332,-137.171809123332
2022,-121.33495213579,-122.63711246242,-120.179997253
2023,-169.491795189928,-171.718450097214,-167.27613857749
2024,-159.554203386655,-161.886435436321,-157.427196444179
2025,-139.486678669908,-140.878698169885,-137.723789763134
