"year","mean_depth","ci_lower","ci_upper"
2003,-468.192984017924,-470.263390563556,-466.015013116556
2004,-474.256430832081,-476.757617897756,-471.851338661444
2005,-464.472248789072,-466.196038715574,-462.791046243491
2006,-470.170050670816,-472.417182343499,-467.934572574687
2007,-467.341420084127,-469.326251190799,-465.312825062498
2008,-470.668813380887,-473.267891242056,-468.415949683335
2009,-474.632706198433,-476.785791311963,-472.366948191458
2010,-468.610329863957,-470.660773795433,-466.550599138313
2011,-475.038622696205,-477.45342142556,-472.283189497993
2012,-467.591497355399,-469.690658945575,-465.679583236245
2013,-470.665405170473,-472.926965347452,-468.358744929834
2014,-464.127181055092,-466.010119796212,-462.36237652192
2015,-468.081523957731,-470.210238790969,-466.139857704603
2016,-468.568967453794,-470.381734679962,-466.656731356088
2017,-477.699922102272,-480.315896625656,-475.263678535232
2018,-475.377336632929,-477.679159474082,-472.970353136693
2019,-472.588040584049,-475.151394620511,-470.65572756078
2021,-472.96629013059,-475.258741021903,-470.644423118881
2022,-472.844184604246,-475.006070386483,-470.58102121528
2023,-472.14110761954,-474.40510695597,-469.829754755465
2024,-466.488995372611,-468.271810348994,-464.691910043267
2025,-471.019985624525,-473.20887577693,-468.752604282814
